Set,Set,Set,Set,Set,Set,Set,Run #1,Run #1,Run #1,Run #1
Absolute Pressure (cmHg),Ideal LogP (cmHg),Ideal Temperature (K),Left (cm),Right (cm),Δh (cm),Ln(P) (cmHg),Time (s),Voltage (V),Temperature (K),"1/T" (K^-1)
4.71,0.458,273,78.65,7.90,70.75,1.55,877.450,0.311,310.93,0.00
11.66,76.000,373,75.40,11.60,63.80,2.46,2263.850,0.329,328.78,0.00
18.86,,,72.00,15.40,56.60,2.94,2956.450,0.339,339.46,0.00
36.01,,,64.20,24.75,39.45,3.58,4091.400,0.354,354.43,0.00
39.41,,,62.50,26.45,36.05,3.67,4205.150,0.357,356.55,0.00
44.26,,,60.25,29.05,31.20,3.79,4342.000,0.359,359.45,0.00
46.61,,,59.20,30.35,28.85,3.84,4436.650,0.361,360.75,0.00
51.81,,,56.80,33.15,23.65,3.95,4547.700,0.363,363.43,0.00
65.11,,,50.65,40.30,10.35,4.18,4775.600,0.369,369.49,0.00
75.46,,,45.80,45.80,0.00,4.32,5227.050,0.374,373.72,0.00
